wikidata_id,wiki_en,wiki_ja,pageviews_en_12m,pageviews_ja_12m,wiki_pageviews_12m,popularity
Q6452125,Kyoto City Library of Historical Documents,京都市歴史資料館,313,754,1067,0.0029
Q127602236,,,0,0,0,0.0
Q21190901,Ōtani University Museum,大谷大学博物館,276,55,331,0.0009
Q3329667,Ryozen Museum of History,霊山歴史館,1012,4702,5714,0.0157
Q125002905,,,0,0,0,0.0
Q11606115,Hosomi Museum,細見美術館,972,6064,7036,0.0194
Q11665410,,風俗博物館,0,884,884,0.0024
Q21019672,Koryo Museum of Art,高麗美術館,930,1061,1991,0.0055
Q118145425,,京都清宗根付館 (旧神先家住宅),0,568,568,0.0016
Q30931507,,教行院,0,178,178,0.0005
Q709822,Toyokuni Shrine (Kyoto),豊国神社 (京都市),5879,38132,44011,0.1212
Q11354999,Miyake Hachimangū,三宅八幡宮,416,2351,2767,0.0076
Q626535,Honnō-ji,本能寺,31390,53290,84680,0.2333
Q653319,Sanjūsangen-dō,三十三間堂,30184,103724,133908,0.3689
Q6134090,Konkaikōmyō-ji,金戒光明寺,2142,21327,23469,0.0647
Q1089767,Nanzen-ji,南禅寺,17132,57596,74728,0.2059
Q115621875,,宗徳寺 (京都市),0,424,424,0.0012
Q377386,Shōren-in,青蓮院,3084,27111,30195,0.0832
Q11620048,,華厳寺 (京都市),0,7854,7854,0.0216
Q3201026,Kyoto Ryozen Gokoku Shrine,京都霊山護国神社,4525,10721,15246,0.042
Q11489342,,御金神社,0,12566,12566,0.0346
Q910281,Higashi Hongan-ji,東本願寺,19939,65170,85109,0.2345
Q3054422,Enkō-ji,円光寺 (京都市左京区),1710,6484,8194,0.0226
Q11555257,Hōnen-in,法然院,2879,10087,12966,0.0357
Q11450871,,安楽寺 (京都市),0,3989,3989,0.011
Q11126319,,毘沙門堂,0,7634,7634,0.021
Q11442642,,天授庵,0,3171,3171,0.0087
Q10927539,,円通寺 (京都市左京区),0,3210,3210,0.0088
Q11545356,,正伝寺,0,3575,3575,0.0098
Q11269244,,赤山禅院,0,6692,6692,0.0184
Q3571897,Yasaka Kōshin-dō,金剛寺 (京都市東山区金園町),5383,2605,7988,0.022
Q1060771,Rokuharamitsu-ji,六波羅蜜寺,1976,33722,35698,0.0983
Q11556828,,浄土院 (京都市左京区),0,2552,2552,0.007
Q11378564,,仲源寺,0,1577,1577,0.0043
Q115624950,,,0,0,0,0.0
Q11652030,,長岡天満宮,0,6783,6783,0.0187
Q65248501,,京都ゑびす神社,0,4518,4518,0.0124
Q85882834,,禅居庵,0,1693,1693,0.0047
Q22119355,,狸谷山不動院,0,3746,3746,0.0103
Q772598,Kajū-ji,勧修寺,869,14081,14950,0.0412
Q65269024,,折上稲荷神社,0,689,689,0.0019
Q54152981,Rurikō-in,瑠璃光院,1535,9296,10831,0.0298
Q97220118,,半木神社,0,1286,1286,0.0035
Q11408325,Nanzen-in,南禅院,696,1418,2114,0.0058
Q11598009,,立本寺,0,3599,3599,0.0099
Q3076987,Kōtō-in,高桐院,1353,4290,5643,0.0155
Q11573878,,瑞峯院,0,3426,3426,0.0094
Q1157585,Daikaku-ji,大覚寺,4983,37367,42350,0.1167
Q11650427,Nishiki Tenmangū,錦天満宮,1649,2942,4591,0.0126
Q500955,Imamiya Shrine,今宮神社 (京都市),3373,14597,17970,0.0495
Q11666843,,養源院,0,11578,11578,0.0319
Q11499684,,敷地神社,0,1758,1758,0.0048
Q11614933,,芬陀院,0,1172,1172,0.0032
Q11426261,,城興寺 (京都市),0,1051,1051,0.0029
Q11523759,,来迎院 (京都市東山区),0,1603,1603,0.0044
Q17993668,Shirakumo Shrine,白雲神社,537,1988,2525,0.007
Q11438245,Oishi Shrine,大石神社,139,7497,7636,0.021
Q20043316,,永運院,0,578,578,0.0016
Q20044419,,西翁院,0,607,607,0.0017
Q1045971,Hōkō-ji (Kyoto),方広寺,6021,55122,61143,0.1684
Q11090279,Chishaku-in,智積院,2677,31528,34205,0.0942
Q11446841,,妙傳寺 (京都市左京区北門前町),0,1869,1869,0.0051
Q11588753,,神光院,0,2671,2671,0.0074
Q11369376,,久我神社 (京都市北区),0,1968,1968,0.0054
Q11583037,Shinnyō-ji,真如寺 (京都市),253,3448,3701,0.0102
Q11403878,,北真経寺,0,558,558,0.0015
Q11564240,,源空寺 (京都市),0,842,842,0.0023
Q11642476,,遣迎院,0,2131,2131,0.0059
Q115617516,,,0,0,0,0.0
Q38277764,,源光寺 (京都市),0,715,715,0.002
Q11408300,,南真経寺,0,546,546,0.0015
Q11374812,,京都ハリストス正教会,0,2860,2860,0.0079
Q30931482,,尊陽院,0,677,677,0.0019
Q11613411,,興正寺,0,12443,12443,0.0343
Q57338123,,雨宝院,0,1422,1422,0.0039
Q17193550,,新熊野神社,0,3924,3924,0.0108
Q11679201,,龍光院 (京都市左京区),0,426,426,0.0012
Q124496369,,常光院 (京都市左京区),0,684,684,0.0019
Q11653106,,長楽寺 (京都市),0,3700,3700,0.0102
Q55534771,,安養寺 (京都市東山区),0,4609,4609,0.0127
Q11352666,,一心院,0,1937,1937,0.0053
Q30931490,,日體寺,0,707,707,0.0019
Q2413893,Bukkō-ji,佛光寺,2365,11693,14058,0.0387
Q10943057,,妙満寺,0,6459,6459,0.0178
Q11624431,,藤森神社,0,14426,14426,0.0397
Q22118778,,西岸寺 (京都市伏見区深草),0,550,550,0.0015
Q11558861,,海宝寺 (京都市),0,1737,1737,0.0048
Q24869172,,西岸寺 (京都市伏見区下油掛町),0,448,448,0.0012
Q3076920,Kōryū-ji,広隆寺,4994,52570,57564,0.1586
Q11604632,,粟田神社,0,3538,3538,0.0097
Q11093340,,本圀寺,0,16105,16105,0.0444
Q109361856,,廣誠院,0,290,290,0.0008
Q11561442,,清閑寺,0,3291,3291,0.0091
Q3028486,Shisen-dō,詩仙堂,1622,7235,8857,0.0244
Q115645388,,,0,0,0,0.0
Q115645224,,,0,0,0,0.0
Q30930656,,久本院,0,181,181,0.0005
Q65261024,,安祥院 (京都市),0,922,922,0.0025
Q30931223,,泉妙院,0,402,402,0.0011
Q59208988,,宝蔵寺 (京都市),0,979,979,0.0027
Q123114960,,白山神社 (京都市),0,1413,1413,0.0039
Q11405045,,十念寺 (京都市),0,1428,1428,0.0039
Q28693478,,明光寺,0,688,688,0.0019
Q11442545,,天寧寺 (京都市),0,1377,1377,0.0038
Q11359018,,上御霊神社,0,15762,15762,0.0434
Q376288,Myōshin-ji,妙心寺,7064,49905,56969,0.1569
Q276781,Umenomiya Taisha,梅宮大社,970,15377,16347,0.045
Q115669275,,,0,0,0,0.0
Q115680385,,,0,0,0,0.0
Q11371044,,了徳寺,0,856,856,0.0024
Q121366720,,華光寺 (京都市上京区),0,1714,1714,0.0047
Q124496362,,祐正寺,0,483,483,0.0013
Q29407978,,妙堯寺,0,213,213,0.0006
Q17218661,,須賀神社 (京都市),0,1713,1713,0.0047
Q119928771,,,0,0,0,0.0
Q11538723,,梛神社,0,2178,2178,0.006
Q11410134,Itsukushima Shrine (Kyoto),厳島神社 (京都市上京区),590,1457,2047,0.0056
Q11538748,,梨木神社,0,5280,5280,0.0145
Q11561286,,清浄華院,0,5161,5161,0.0142
Q3198741,Konpuku-ji,金福寺,486,3949,4435,0.0122
Q11629957,,西院春日神社,0,1909,1909,0.0053
Q123114982,,大豊神社,0,1639,1639,0.0045
Q122833543,,霊鑑寺,0,3251,3251,0.009
Q11548940,,水火天満宮,0,2341,2341,0.0064
Q11447007,,妙蓮寺 (京都市),0,4012,4012,0.0111
Q17209556,,菅大臣神社,0,3239,3239,0.0089
Q109595538,,本願寺北山別院,0,412,412,0.0011
Q11447077,,妙顕寺 (京都市),0,7621,7621,0.021
Q11483471,Byōdō-ji,平等寺 (京都市下京区),1196,5302,6498,0.0179
Q123385900,,両足院,0,2295,2295,0.0063
Q17224626,,大聖寺 (京都市),0,8509,8509,0.0234
Q3551943,Unryū-in,雲龍院,427,3448,3875,0.0107
Q54153288,,瀧尾神社 (京都市),0,2985,2985,0.0082
Q11388400,,光悦寺,0,4329,4329,0.0119
Q11448099,,孤篷庵,0,8114,8114,0.0224
Q21653410,,大光院 (京都市),0,6680,6680,0.0184
Q11572672,,玉林院,0,2262,2262,0.0062
Q17214048,,龍光院 (京都市北区),0,10561,10561,0.0291
Q1058324,Sōken-in,総見院 (京都市),446,5647,6093,0.0168
Q3188311,Jukō-in,聚光院,1046,7799,8845,0.0244
Q11615791,,芳春院 (京都市),0,3325,3325,0.0092
Q11583323,,真珠庵,0,4565,4565,0.0126
Q3594011,Ōbai-in,黄梅院 (京都市),547,4467,5014,0.0138
Q11432471,Daikōmyō-ji,大光明寺,233,2439,2672,0.0074
Q3514106,Taizō-in,退蔵院,1200,4371,5571,0.0153
Q3547079,Tōrin-in,東林院,612,1933,2545,0.007
Q669494,Shunkō-in,春光院,2201,1421,3622,0.01
Q11536768,Keishun-in,桂春院,688,1468,2156,0.0059
Q43594574,,長谷八幡宮,0,839,839,0.0023
Q48763139,,是心寺 (京都市),0,192,192,0.0005
Q17218751,,菅原院天満宮神社,0,2640,2640,0.0073
Q3140297,Honzen-ji,本禅寺,408,2114,2522,0.0069
Q29408070,,満願寺 (京都市左京区),0,1622,1622,0.0045
Q11472971,,岡崎神社,0,4349,4349,0.012
Q2852420,Anrakuju-in,安楽寿院,667,5404,6071,0.0167
Q349287,Emperor Sutoku,崇徳天皇,66867,257249,324116,0.8929
Q11676429,Saginomori Shrine,鷺森神社,296,2376,2672,0.0074
Q17218077,,神明神社 (京都市下京区),0,1079,1079,0.003
Q11474383,,岩屋寺 (京都市),0,1924,1924,0.0053
Q11470816,,山科神社,0,1312,1312,0.0036
Q11064894,Rozan-ji,廬山寺,1211,7168,8379,0.0231
Q3138637,Tōji-in,等持院,2384,16878,19262,0.0531
Q3195151,Kenkun Shrine,建勲神社,2950,13435,16385,0.0451
Q11481457,,常照寺 (京都市),0,3369,3369,0.0093
Q11451144,,安祥寺 (京都市),0,3605,3605,0.0099
Q11628329,,西方寺 (京都市北区),0,758,758,0.0021
Q11594015,,福王子神社,0,1941,1941,0.0053
Q48763144,,長源寺 (京都市左京区),0,670,670,0.0018
Q11437955,,大田神社 (京都市),0,3530,3530,0.0097
Q48763132,,専修寺 (京都市),0,394,394,0.0011
Q106836682,,真宗大谷派岡崎別院,0,1469,1469,0.004
Q11481409,,常林寺 (京都市),0,451,451,0.0012
Q123115002,,若一神社,0,2654,2654,0.0073
Q11520503,Honpō-ji (Kyoto),本法寺 (京都市),720,6056,6776,0.0187
Q11521041,,本隆寺,0,2072,2072,0.0057
Q11613457,,興聖寺 (京都市),0,4310,4310,0.0119
Q17225038,,首途八幡宮,0,1537,1537,0.0042
Q11486473,,延仁寺,0,948,948,0.0026
Q11434209,,大妙寺 (京都市),0,267,267,0.0007
Q11409172,,即成院,0,2824,2824,0.0078
Q20043593,,戒光寺,0,3381,3381,0.0093
Q55537320,,新善光寺 (京都市東山区),0,679,679,0.0019
Q55537255,,法音院 (京都市東山区),0,640,640,0.0018
Q11573864,,瑞光寺 (京都市),0,753,753,0.0021
Q11151768,,涌泉寺,0,1599,1599,0.0044
Q11446853,,妙円寺 (京都市),0,1292,1292,0.0036
Q17994598,,住吉大伴神社,0,1393,1393,0.0038
Q55537303,,悲田院 (京都市東山区),0,1782,1782,0.0049
Q3095172,Gangyō-ji,元慶寺,1003,5362,6365,0.0175
Q11621738,,蓮華寺 (京都市右京区),0,1264,1264,0.0035
Q11477104,,崇道神社,0,5206,5206,0.0143
Q11659439,,雙林寺 (京都市),0,1482,1482,0.0041
Q21019667,"St. Francis Xavier Cathedral, Kyoto",カトリック河原町教会,3544,2724,6268,0.0173
Q11550311,,永福寺 (京都市),0,2097,2097,0.0058
Q11555272,,法界寺,0,7275,7275,0.02
Q11452697,,宝鏡寺,0,3909,3909,0.0108
Q85875581,,中臣神社,0,212,212,0.0006
Q11535783,,栖賢寺,0,575,575,0.0016
Q11621739,,蓮華寺 (京都市左京区),0,3916,3916,0.0108
Q11657419,,阿弥陀寺 (京都市上京区),0,6775,6775,0.0187
Q11520525,,本満寺,0,3078,3078,0.0085
Q11354048,,三ノ宮神社 (京都市西京区樫原),0,973,973,0.0027
Q11451877,,宗像神社 (京都市),0,1688,1688,0.0047
Q107390991,,本願寺西山別院,0,879,879,0.0024
Q85880081,,常楽寺 (京都市西京区),0,149,149,0.0004
Q17214466,,九頭竜大社,0,5539,5539,0.0153
Q11453117,,宥清寺,0,3402,3402,0.0094
Q11560543,,清和院,0,1481,1481,0.0041
Q7406600,Salvation Army corps,,2318,0,2318,0.0064
Q11591827,,福勝寺,0,2105,2105,0.0058
Q85884334,,阿弥陀寺 (京都市西京区),0,153,153,0.0004
Q85880201,,弥勒寺 (京都市),0,347,347,0.001
Q115722133,,,0,0,0,0.0
Q11607305,,綾戸国中神社,0,2745,2745,0.0076
Q125688027,,,0,0,0,0.0
Q11358674,,上品蓮台寺,0,3914,3914,0.0108
Q115706905,,,0,0,0,0.0
Q115687386,,,0,0,0,0.0
Q115721833,,,0,0,0,0.0
Q115721983,,明覚寺 (京都市),0,10779,10779,0.0297
Q115722437,,,0,0,0,0.0
Q11361596,,不動堂明王院,0,1148,1148,0.0032
Q10952442,,寂光寺,0,2733,2733,0.0075
Q22118804,,西方寺 (京都市左京区),0,863,863,0.0024
Q29408088,,本妙寺 (京都市),0,598,598,0.0016
Q28690169,,妙傳寺 (京都市左京区八瀬近衛町),0,292,292,0.0008
Q11401294,,北向山不動院,0,2451,2451,0.0068
